from,to
18,0
8,10
10,18
18,0
18,8
8,18
18,8
8,0
8,0
2,23
23,6
6,31
31,0
1,9
9,11
11,0
18,9
9,0
2,8
8,0
11,23
23,2
2,31
31,12
12,23
23,8
8,11
11,6
6,11
11,31
31,6
6,0
12,31
31,8
8,31
31,6
6,11
11,31
31,11
11,23
23,0
2,31
31,11
11,0
1,9
9,10
10,0
31,18
18,10
10,0
12,2
2,0
8,9
9,10
10,0
18,8
8,18
18,0
18,12
12,31
31,2
2,0
18,10
10,31
31,0
18,12
12,0
23,9
9,98
31,18
18,0
31,8
8,6
6,11
11,0
10,0
18,1
1,2
2,6
6,2
2,23
23,11
11,0
1,0
23,6
6,0
2,1
1,31
31,2
2,0
1,0
31,2
2,23
23,11
11,23
23,11
11,0
2,0
23,8
8,31
31,23
23,11
11,6
6,31
31,11
11,6
6,31
31,11
11,23
23,0
31,8
8,12
12,18
18,10
10,8
8,0
23,2
2,1
1,6
6,8
8,11
11,8
8,6
6,31
31,10
10,0
18,6
6,0
6,10
10,18
18,1
1,6
6,9
9,0
31,23
23,11
11,23
23,2
2,31
31,12
12,10
10,0
23,31
31,0
23,2
2,1
1,0
10,18
18,0
18,2
2,23
23,11
11,31
31,10
10,0
8,0
2,8
8,0
8,18
18,12
12,2
2,18
18,23
23,6
6,23
23,11
11,23
23,9
9,0
23,2
2,12
12,0
6,23
23,8
8,31
31,0
18,6
6,11
11,23
23,31
31,23
23,2
2,1
1,0
23,2
2,11
11,23
23,0
23,0
1,9
9,0
1,9
9,0
2,6
6,0
31,8
8,10
10,0
18,9
9,10
10,6
6,11
11,6
6,0
2,12
12,6
6,18
18,31
31,12
12,2
2,8
8,23
23,11
11,8
8,0
1,31
31,23
23,11
11,8
8,11
11,0
