from,to
39,3
3,12
12,6
6,3
3,6
6,31
31,23
23,11
11,23
23,12
12,3
3,12
12,23
23,12
12,3
3,18
18,0
18,10
18,0
39,31
31,6
6,11
11,6
6,11
11,0
11,23
23,31
31,39
39,18
18,39
39,3
3,12
12,6
6,11
11,6
6,18
18,0
31,0
18,10
10,6
6,23
23,11
11,23
23,6
6,10
10,0
12,39
39,3
3,39
39,6
6,11
11,6
6,12
12,3
3,31
31,11
11,31
31,23
23,11
11,0
12,23
23,12
12,18
18,3
3,0
11,31
31,12
12,3
3,18
18,39
39,18
18,1
1,12
12,6
6,11
11,0
23,10
10,18
18,0
18,6
6,18
18,0
18,39
39,98
18,6
6,18
18,10
10,0
18,10
10,6
6,12
12,10
10,0
3,39
39,0
31,11
11,9
9,0
10,0
18,3
3,0
10,18
18,0
31,12
12,23
23,11
11,6
6,11
11,31
31,12
12,3
3,12
12,23
23,0
31,0
31,10
10,11
11,0
12,3
3,31
31,18
18,0
18,31
31,98
12,39
39,12
12,31
31,12
12,39
39,0
39,31
31,0
12,23
23,0
23,31
31,6
6,8
8,39
39,9
9,0
39,6
6,9
9,10
10,98
23,31
31,8
8,18
18,0
18,31
31,39
39,12
12,23
23,11
11,10
10,23
23,6
6,98
10,31
31,6
6,18
18,12
12,0
12,8
8,6
6,18
18,31
31,23
23,0
12,39
39,18
18,39
39,12
12,23
23,11
11,31
31,0
12,18
18,9
9,0
6,0
23,11
11,23
23,0
6,8
8,0
18,1
1,11
11,23
23,1
1,0
31,8
8,18
18,39
39,31
31,6
6,23
23,0
23,6
6,39
39,1
1,31
31,23
23,31
31,11
11,23
23,10
10,8
8,10
10,0
39,18
18,0
12,39
39,18
18,0
31,18
18,9
9,11
11,0
23,6
6,8
8,23
23,11
11,8
8,0
8,12
12,0
31,12
12,23
23,11
11,23
23,9
9,0
1,18
18,8
8,6
6,0
11,31
31,23
23,0
12,39
39,31
31,39
39,12
12,39
39,6
6,8
8,12
12,23
23,8
8,23
23,11
11,0
31,12
12,23
23,31
31,12
12,39
39,6
6,23
23,11
11,0
12,31
31,6
6,39
39,6
6,9
9,0
18,0
18,0
1,12
12,23
23,9
9,0
23,31
31,0
1,6
6,31
31,11
11,23
23,8
8,31
31,6
6,9
9,6
6,98
39,1
1,23
23,11
11,23
23,31
31,39
39,18
18,31
31,39
39,12
12,23
23,6
6,11
11,0
23,6
6,11
11,0
12,6
6,12
12,31
31,23
23,12
12,0
1,6
6,11
11,0
31,18
18,0
23,0
12,39
39,12
12,23
23,11
11,0
12,6
6,12
12,31
31,23
23,11
11,31
31,8
8,23
23,11
11,6
6,98
18,0
18,0
18,0
