from,to
31,1
1,0
23,6
6,0
11,18
18,7
7,18
18,11
11,0
8,99
1,6
6,27
27,11
11,0
1,11
11,27
27,23
23,6
6,27
27,23
23,11
11,0
23,27
27,6
6,0
6,11
11,27
27,12
12,18
18,8
8,12
12,31
31,23
23,11
11,6
6,23
23,8
8,23
23,8
8,6
6,11
11,9
9,27
27,98
7,12
12,98
6,8
8,0
12,8
8,18
18,12
12,31
31,11
11,31
31,12
12,8
8,7
7,6
6,8
8,11
11,23
23,0
6,11
11,6
6,11
11,99
1,27
27,23
23,0
11,7
7,8
8,11
11,7
7,9
9,0
31,12
12,18
18,6
6,23
23,11
11,31
31,12
12,6
6,7
7,18
18,0
31,1
1,6
6,18
18,27
27,8
8,11
11,7
7,23
23,8
8,27
27,9
9,0
12,1
1,31
31,8
8,7
7,23
23,11
11,23
23,11
11,23
23,0
7,0
23,27
27,9
9,11
11,0
11,7
7,0
12,8
8,6
6,11
11,8
8,27
27,6
6,98
23,6
6,12
12,18
18,0
23,11
11,6
6,7
7,0
31,9
9,0
31,6
6,8
8,23
23,11
11,8
8,11
11,7
7,11
11,9
9,18
18,0
23,8
8,6
6,7
7,11
11,23
23,7
7,6
6,18
18,9
9,8
8,27
27,0
23,6
6,7
7,9
9,6
6,18
18,7
7,99
12,9
9,11
11,7
7,0
27,6
6,8
8,18
18,0
8,6
6,0
8,11
11,7
7,98
7,6
6,12
12,18
18,0
27,6
6,8
8,0
23,6
6,1
1,0
27,6
6,18
18,8
8,9
9,18
18,8
8,9
9,0
18,27
27,0
