from,to
9,6
6,0
23,8
8,23
23,31
31,6
6,1
1,12
12,18
18,6
6,18
18,0
18,27
27,18
18,8
8,0
6,8
8,12
12,6
6,0
6,8
8,12
12,6
6,9
9,0
6,27
27,6
6,0
6,1
1,10
10,9
9,0
11,23
23,31
31,6
6,8
8,12
12,31
31,23
23,27
27,0
31,6
6,0
18,12
12,31
31,8
8,18
18,8
8,10
10,0
6,1
1,6
6,23
23,11
11,23
23,27
27,23
23,10
10,18
18,0
18,27
27,6
6,98
31,98
1,6
6,8
8,27
27,18
18,0
18,27
27,10
10,6
6,23
23,0
12,31
31,6
6,11
11,9
9,0
8,98
1,8
8,10
10,27
27,9
9,11
11,0
18,6
6,10
10,98
27,18
18,1
1,0
1,6
6,31
31,11
11,23
23,31
31,12
12,8
8,18
18,12
12,31
31,11
11,10
10,98
1,18
18,10
10,0
18,31
31,23
23,31
31,0
23,11
11,0
12,18
18,9
9,0
6,11
11,0
12,31
31,0
1,27
27,10
10,0
8,10
10,0
23,31
31,8
8,18
18,10
10,8
8,18
18,6
6,31
31,12
12,6
6,8
8,9
9,6
6,31
31,23
23,11
11,0
1,0
11,10
