from,to
39,3
3,12
12,6
6,3
3,6
6,31
31,23
23,11
11,23
23,12
12,3
3,12
12,23
23,12
12,3
3,18
18,0
18,10
18,0
39,31
31,6
6,11
11,6
6,11
11,0
11,23
23,31
31,39
39,18
18,39
39,3
3,12
12,6
6,11
11,6
6,18
18,0
31,0
18,10
10,6
6,23
23,11
11,23
23,6
6,10
10,0
12,39
39,3
3,39
39,6
6,11
11,6
6,12
12,3
3,31
31,11
11,31
31,23
23,11
11,0
12,23
23,12
12,18
18,3
3,0
11,31
31,12
12,3
3,18
18,39
39,18
18,1
1,12
12,6
6,11
11,0
23,10
10,18
18,0
18,6
6,18
18,0
18,39
39,98
18,6
6,18
18,10
10,0
18,10
10,6
6,12
12,10
10,0
3,39
39,0
31,11
11,9
9,0
10,0
18,3
3,0
10,18
18,0
31,12
12,23
23,11
11,6
6,11
11,31
31,12
12,3
3,12
12,23
23,0
31,0
31,10
10,11
11,0
12,3
3,31
31,18
18,0
